input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
WSCD2	PARD3B	PARD3B	WSCD2
TECTB	B4GALT5	B4GALT5	TECTB
SYNGR1	RPS6P15	RPS6P15	SYNGR1
SCUBE1	RPSAP72	RPSAP72	SCUBE1
KIAA1549	RF00012	RF00012	KIAA1549
ALDH1A2	C1orf53	C1orf53	ALDH1A2
LONP1	ACTN2	ACTN2	LONP1
CASC15	MCCC2	MCCC2	CASC15
THADA	AKAP6	AKAP6	THADA
TPRKBP1	AP3M1	AP3M1	TPRKBP1
RPL19P1	STIMATE-MUSTN1	STIMATE-MUSTN1	RPL19P1
SLITRK1	HDDC2	HDDC2	SLITRK1
FGGY	GSK3B	GSK3B	FGGY
ANGPTL5	H2AFY	H2AFY	ANGPTL5
CD86	SLC2A10	SLC2A10	CD86
MAN1A2	PPIAP14	PPIAP14	MAN1A2
LINC01650	INPP4B	INPP4B	LINC01650
PAICSP2	NR3C2	NR3C2	PAICSP2
SPIN2B	VPS37B	VPS37B	SPIN2B
SLC7A10	SATB2	SATB2	SLC7A10
TLK2P1	ANKFN1	ANKFN1	TLK2P1
RPL5P8	ITIH5	ITIH5	RPL5P8
NEUROG3	DCAF4L2	DCAF4L2	NEUROG3
USP7	VPS54	VPS54	USP7
SEC11A	MICAL2	MICAL2	SEC11A
GNG10	LIFR	LIFR	GNG10
PMVK	EDEM1	EDEM1	PMVK
PGM5P4-AS1	ITGA8	ITGA8	PGM5P4-AS1
NOVA2	Z97205.1	Z97205.1	NOVA2
OSBPL8	MYOZ3	MYOZ3	OSBPL8
SRP54	FUCA1P1	FUCA1P1	SRP54
GKN2	MSNP1	MSNP1	GKN2
RGS13	MTND5P4	MTND5P4	RGS13
FILNC1	LINC01091	LINC01091	FILNC1
LARP1BP1	RF00189	RF00189	LARP1BP1
PLAC8	SIPA1L1	SIPA1L1	PLAC8
PHBP1	RNF150	RNF150	PHBP1
BRI3BPP1	CBR3-AS1	CBR3-AS1	BRI3BPP1
GRM2	HLA-DRB1	HLA-DRB1	GRM2
CHRM3-AS1	GUCY1A1	GUCY1A1	CHRM3-AS1
STX16-NPEPL1	CCDC18-AS1	CCDC18-AS1	STX16-NPEPL1
PEX1	CCSER1	CCSER1	PEX1
SRPK2	RORB	RORB	SRPK2
SMOC1	MN1	MN1	SMOC1
LINC02341	PALLD	PALLD	LINC02341
LINC01714	MSR1	MSR1	LINC01714
RF00019	C8orf34	C8orf34	RF00019
MYBPC2	LINC01712	LINC01712	MYBPC2
LINC02241	LINC02118	LINC02118	LINC02241
LINC00840	LINC02184	LINC02184	LINC00840
AKAP8L	NUP35	NUP35	AKAP8L
LINC00460	SMARCE1P4	SMARCE1P4	LINC00460
ASPM	HTR2A	HTR2A	ASPM
CA8	NDC1	NDC1	CA8
CREB1	IRF9	IRF9	CREB1
POU3F2	B4GALT7	B4GALT7	POU3F2
RPS11P5	LINC02339	LINC02339	RPS11P5
FNIP1	SLC25A40	SLC25A40	FNIP1
PTCHD1	DHX35	DHX35	PTCHD1
FUT8	KPNA2P2	KPNA2P2	FUT8
SMG6	CFAP61	CFAP61	SMG6
CCNYL3	BNIP3L	BNIP3L	CCNYL3
BOC	NAMPT	NAMPT	BOC
SLC7A14	ARHGAP26	ARHGAP26	SLC7A14
HERC2P3	PPP1R2C	PPP1R2C	HERC2P3
LDLRAD4	SSU72P8	SSU72P8	LDLRAD4
KDM2B	ZNF782	ZNF782	KDM2B
CDK8	PDE2A	PDE2A	CDK8
LINC00469	EBF1	EBF1	LINC00469
CFAP97	BAZ2B	BAZ2B	CFAP97
SERPINE3	HSPE1P22	HSPE1P22	SERPINE3
NUDT4	ANKRD44	ANKRD44	NUDT4
BPIFC	LINC01752	LINC01752	BPIFC
CLEC2B	NTM	NTM	CLEC2B
TMPRSS4	MFAP3L	MFAP3L	TMPRSS4
NRXN3	LINC00939	LINC00939	NRXN3
GPM6A	ELAVL2	ELAVL2	GPM6A
RNASEL	TPT1P8	TPT1P8	RNASEL
ST3GAL5	MCTP2	MCTP2	ST3GAL5
KRT18P42	FAM120A	FAM120A	KRT18P42
RNF165	RF00019	RF00019	RNF165
GPR88	DGKI	DGKI	GPR88
UTRN	VWF	VWF	UTRN
LINC02435	CCDC7	CCDC7	LINC02435
HSBP1	KNOP1P3	KNOP1P3	HSBP1
AGTPBP1	LRRC37A7P	LRRC37A7P	AGTPBP1
OR2AF1P	FRMD4B	FRMD4B	OR2AF1P
YWHAQP5	GRIK1-AS1	GRIK1-AS1	YWHAQP5
MMP20	MTND4LP18	MTND4LP18	MMP20
ZBTB20	CNTN4	CNTN4	ZBTB20
CERS3	CCDC182	CCDC182	CERS3
USP3-AS1	EIF2AK1	EIF2AK1	USP3-AS1
CYP19A1	BCL11B	BCL11B	CYP19A1
RF02271	MACROD2-IT1	MACROD2-IT1	RF02271
KAT6B	SLC7A5P1	SLC7A5P1	KAT6B
CD1A	BTBD9	BTBD9	CD1A
LINC01793	ANKS1B	ANKS1B	LINC01793
ANXA2	ANXA2	ANXA2	ANXA2
