input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
WSCD2	PARD3B	BBS2	OR6M2P
TECTB	B4GALT5	OR10J1	UBXN2B
SYNGR1	RPS6P15	CYP2R1	RPSAP20
SCUBE1	RPSAP72	MGAT4C	LINC01289
KIAA1549	RF00012	UCP1	PIBF1
ALDH1A2	C1orf53	MYO5A	DEFB112
LONP1	ACTN2	LINC00882	RF00016
CASC15	MCCC2	ZNF275	IL21
THADA	AKAP6	RF00093	LINC00900
TPRKBP1	AP3M1	SIM2	CFAP61
RPL19P1	STIMATE-MUSTN1	FGF10-AS1	NDUFB5P1
SLITRK1	HDDC2	SPEF2	PACSIN2
FGGY	GSK3B	KIAA1217	NDUFB9P2
ANGPTL5	H2AFY	SLC2A9	USP22
CD86	SLC2A10	HPRT1P2	FSIP2
MAN1A2	PPIAP14	CNTN5	CFAP54
LINC01650	INPP4B	LINC01497	LINC01837
PAICSP2	NR3C2	ZMAT4	ST8SIA4
SPIN2B	VPS37B	RSL24D1P9	LINC00051
SLC7A10	SATB2	ZNF366	RPL17P25
TLK2P1	ANKFN1	EPM2A	ADAMTS18
RPL5P8	ITIH5	SATB2	LINC02113
NEUROG3	DCAF4L2	MIATNB	FRMPD4
USP7	VPS54	RF00019	NMUR2
SEC11A	MICAL2	HULC	NRXN1
GNG10	LIFR	RF02271	LINC02540
PMVK	EDEM1	LINC01339	CABP7
PGM5P4-AS1	ITGA8	KBTBD12	LINC02653
NOVA2	Z97205.1	Z97205.1	NEK10
OSBPL8	MYOZ3	GHITM	RPS3P7
SRP54	FUCA1P1	LINC00840	SFRP2
GKN2	MSNP1	PPP3CA	ALDH1A3
RGS13	MTND5P4	FAM155A	VCAN
FILNC1	LINC01091	HEATR1	MRPS36P2
LARP1BP1	RF00189	PMEPA1	FAM13B
PLAC8	SIPA1L1	LONP2	LINC01488
PHBP1	RNF150	NCK2	CHRDL1
BRI3BPP1	CBR3-AS1	TTLL8	ATF7IP
GRM2	HLA-DRB1	GNG5P1	UMAD1
CHRM3-AS1	GUCY1A1	OTOGL	EFHD1
STX16-NPEPL1	CCDC18-AS1	RAPGEF2	MTUS2
PEX1	CCSER1	CCNB3P1	AK9
SRPK2	RORB	ZFPM2	SPAG16
SMOC1	MN1	RF00012	LINC02327
LINC02341	PALLD	LDHAL6DP	CHCHD2P9
LINC01714	MSR1	EFEMP1	PNPLA6
RF00019	C8orf34	OPCML	KCNH2
MYBPC2	LINC01712	TAB2	GRM5-AS1
LINC02241	LINC02118	VWA8	FGFR2
LINC00840	LINC02184	BANK1	CYB5R4
AKAP8L	NUP35	ROCK1	UBQLN2
LINC00460	SMARCE1P4	ASS1P11	RGS6
ASPM	HTR2A	KDM4C	PIAS1
CA8	NDC1	LINC02059	FNDC3A
CREB1	IRF9	LHX2	ARHGAP42
POU3F2	B4GALT7	ZNF418	C1orf68
RPS11P5	LINC02339	LRFN2	RAVER2
FNIP1	SLC25A40	LINC01902	FHDC1
PTCHD1	DHX35	ADRA1A	EEF1A1P14
FUT8	KPNA2P2	DPH5	LRRIQ1
SMG6	CFAP61	RNF8	ZNF683
CCNYL3	BNIP3L	DCDC1	CDYL
BOC	NAMPT	ACTL8	WASF3
SLC7A14	ARHGAP26	PPP1R1C	SLC39A11
HERC2P3	PPP1R2C	GNPAT	PLSCR4
LDLRAD4	SSU72P8	CDC27	RF00139
KDM2B	ZNF782	SGCE	NEB
CDK8	PDE2A	DLGAP1-AS4	SPATA3
LINC00469	EBF1	GAPDHP24	SFTPB
CFAP97	BAZ2B	MAGI3	CDH5
SERPINE3	HSPE1P22	TMEM232	PDZRN3
NUDT4	ANKRD44	SGCD	KCNMB2
BPIFC	LINC01752	FUCA1P1	ARHGEF9
CLEC2B	NTM	MKNK1-AS1	RP1
TMPRSS4	MFAP3L	FTLP1	GABRB1
NRXN3	LINC00939	LINC00709	STK3
GPM6A	ELAVL2	PDE11A	NR1H4
RNASEL	TPT1P8	RNASEL	RF00019
ST3GAL5	MCTP2	OR52I1	SGK3
KRT18P42	FAM120A	MRPL2P1	LYPLA1
RNF165	RF00019	LINC02089	EIF3LP1
GPR88	DGKI	AFAP1-AS1	LRRC4C
