input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
TECTB	PARD3B	PARD3B	TECTB
SYNGR1	RPS6P15	RPS6P15	SYNGR1
TAB1	RPSAP72	RPSAP72	TAB1
LINC01639	C1orf53	C1orf53	LINC01639
SCUBE1	LHX9	LHX9	SCUBE1
ALDH1A2	BDP1	BDP1	ALDH1A2
CASC15	HMGN1P12	HMGN1P12	CASC15
THADA	MCCC2	MCCC2	THADA
C20orf141	AKAP6	AKAP6	C20orf141
CPXM1	MTCO1P2	MTCO1P2	CPXM1
EBF4	ADK	ADK	EBF4
RPL19P1	AP3M1	AP3M1	RPL19P1
TMEM239	VCL	VCL	TMEM239
FGGY	SFMBT1	SFMBT1	FGGY
MAN1A2	STIMATE	STIMATE	MAN1A2
LINC01650	STIMATE-MUSTN1	STIMATE-MUSTN1	LINC01650
LINC01760	HDDC2	HDDC2	LINC01760
LRP3	GSK3B	GSK3B	LRP3
SLC7A10	DCANP1	DCANP1	SLC7A10
MTATP6P23	H2AFY	H2AFY	MTATP6P23
MTCO1P23	TIFAB	TIFAB	MTCO1P23
MTCO2P23	NR3C2	NR3C2	MTCO2P23
MTND1P20	ITIH5	ITIH5	MTND1P20
MTND2P15	VPS54	VPS54	MTND2P15
NEUROG3	MICAL2	MICAL2	NEUROG3
TMEM256P1	LIFR	LIFR	TMEM256P1
TSPAN15	ITGA8	ITGA8	TSPAN15
CARHSP1	MINDY3	MINDY3	CARHSP1
LITAFD	MYOZ3	MYOZ3	LITAFD
PMM2	RBM22	RBM22	PMM2
USP7	SYNPO	SYNPO	USP7
SEC11A	MSNP1	MSNP1	SEC11A
ZNF592	MTND5P4	MTND5P4	ZNF592
DNAJC25	LINC01091	LINC01091	DNAJC25
DNAJC25-GNG10	RF00189	RF00189	DNAJC25-GNG10
GNG10	SIPA1L1	SIPA1L1	GNG10
LRRC37A5P	RNF150	RNF150	LRRC37A5P
KCNN3	ZNF330	ZNF330	KCNN3
PBXIP1	CBR3	CBR3	PBXIP1
PMVK	CBR3-AS1	CBR3-AS1	PMVK
RF00017	DOP1B	DOP1B	RF00017
DDX11L2	MEMO1P1	MEMO1P1	DDX11L2
FAM138B	RPL3P1	RPL3P1	FAM138B
LINC01961	RPS9P1	RPS9P1	LINC01961
PGM5P4	CCSER1	CCSER1	PGM5P4
PGM5P4-AS1	PALLD	PALLD	PGM5P4-AS1
WASH2P	MRPL49P2	MRPL49P2	WASH2P
FAM177A1	MSR1	MSR1	FAM177A1
SRP54	LINC02118	LINC02118	SRP54
SRP54-AS1	NUP35	NUP35	SRP54-AS1
GKN1	HTR2A	HTR2A	GKN1
GKN2	HTR2A-AS1	HTR2A-AS1	GKN2
GKN3P	DIO1	DIO1	GKN3P
FILNC1	NDC1	NDC1	FILNC1
PHBP1	YIPF1	YIPF1	PHBP1
RAET1K	B4GALT7	B4GALT7	RAET1K
RAET1L	TMED9	TMED9	RAET1L
RAET1M	DBF4	DBF4	RAET1M
ULBP3	SLC25A40	SLC25A40	ULBP3
BNIP3P27	KPNA2P2	KPNA2P2	BNIP3P27
BRI3BPP1	CFAP61	CFAP61	BRI3BPP1
ZNF100	BNIP3L	BNIP3L	ZNF100
ZNF43	SDAD1P1	SDAD1P1	ZNF43
GRM2	NAMPT	NAMPT	GRM2
TEX264	PPP1R2C	PPP1R2C	TEX264
CHRM3-AS1	ITIH2	ITIH2	CHRM3-AS1
LINC01711	ZNF782	ZNF782	LINC01711
NPEPL1	EBF1	EBF1	NPEPL1
STX16	BAZ2B	BAZ2B	STX16
STX16-NPEPL1	HSPE1P22	HSPE1P22	STX16-NPEPL1
ERVW-1	ROR2	ROR2	ERVW-1
