input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
TECTB	PARD3B	OR10J1	OR6M1
SYNGR1	RPS6P15	OR10J4	OR6M2P
TAB1	RPSAP72	CALCB	OR6M3P
LINC01639	C1orf53	CALCP	TMEM225
SCUBE1	LHX9	CYP2R1	PIBF1
ALDH1A2	BDP1	TNRC18P1	ADCY3
CASC15	HMGN1P12	UCP1	DNAJC27
THADA	MCCC2	EEF1B2P1	DNAJC27-AS1
C20orf141	AKAP6	MYO5A	RF00016
CPXM1	MTCO1P2	LINC00882	RF00019
EBF4	ADK	PNMA6E	IL21
RPL19P1	AP3M1	PNMA6F	IL21-AS1
TMEM239	VCL	ZNF275	CFAP61
FGGY	SFMBT1	SPEF2	PACSIN2
MAN1A2	STIMATE	KIAA1217	NDUFB9P2
LINC01650	STIMATE-MUSTN1	SLC2A9	CCDC144NL-AS1
LINC01760	HDDC2	LINC01497	SPECC1P2
LRP3	GSK3B	ZMAT4	USP22
SLC7A10	DCANP1	RSL24D1P9	FSIP2
MTATP6P23	H2AFY	ZNF366	FSIP2-AS1
MTCO1P23	TIFAB	EPM2A	ST8SIA4
MTCO2P23	NR3C2	SATB2	BCKDHB
MTND1P20	ITIH5	MIATNB	RPL17P25
MTND2P15	VPS54	KBTBD12	ADAMTS18
NEUROG3	MICAL2	C10orf99	LINC02113
TMEM256P1	LIFR	CDHR1	FRMPD4
TSPAN15	ITGA8	CERNA2	NMUR2
CARHSP1	MINDY3	GHITM	LINC02540
LITAFD	MYOZ3	RF00019	CABP7
PMM2	RBM22	LINC00840	LINC02653
USP7	SYNPO	LINC00841	NEK10
SEC11A	MSNP1	LINC02659	SLC4A7
ZNF592	MTND5P4	PPP3CA	VCAN
DNAJC25	LINC01091	ACTN2	VCAN-AS1
DNAJC25-GNG10	RF00189	HEATR1	FAM13B
GNG10	SIPA1L1	NCK2	PKD2L2
LRRC37A5P	RNF150	GNG5P1	LINC01488
KCNN3	ZNF330	RAPGEF2	ATF7IP
PBXIP1	CBR3	CCNB3P1	RPL30P11
PMVK	CBR3-AS1	ZFPM2	RPA3
RF00017	DOP1B	OPCML	UMAD1
DDX11L2	MEMO1P1	TAB2	EFHD1
FAM138B	RPL3P1	TAB2-AS1	EIF4E2
LINC01961	RPS9P1	KARSP1	AK9
PGM5P4	CCSER1	VWA8	FIG4
PGM5P4-AS1	PALLD	KDM4C	FOXG1
WASH2P	MRPL49P2	C19orf18	FOXG1-AS1
FAM177A1	MSR1	ZNF256	LINC01551
