input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
CATSPERD	ACTN2	ACTN2	CATSPERD
LONP1	VPS37B	VPS37B	LONP1
TPRKBP1	HLA-DRB1	HLA-DRB1	TPRKBP1
ANGPTL5	CCDC18-AS1	CCDC18-AS1	ANGPTL5
CD86	IRF9	IRF9	CD86
SPIN2B	PDE2A	PDE2A	SPIN2B
NOVA2	DGKI	DGKI	NOVA2
OSBPL8	BTBD9	BTBD9	OSBPL8
SRPK2	SOSTDC1	SOSTDC1	SRPK2
RF00019	THRSP	THRSP	RF00019
FNIP1	NT5DC3	NT5DC3	FNIP1
BOC	SEZ6L	SEZ6L	BOC
KDM2B	IER5L	IER5L	KDM2B
LINC00469	SF3A3	SF3A3	LINC00469
TMPRSS4	EDNRB-AS1	EDNRB-AS1	TMPRSS4
SATB1-AS1	SRP54	SRP54	SATB1-AS1
RNF145	CUL4A	CUL4A	RNF145
MRPS33P4	PAIP1	PAIP1	MRPS33P4
GEMIN7-AS1	CAT	CAT	GEMIN7-AS1
PPP1R37	DEPTOR	DEPTOR	PPP1R37
TERB2	PRDM1	PRDM1	TERB2
POU2AF1	WDR41	WDR41	POU2AF1
CERS5	MARK4	MARK4	CERS5
AP1G1	LINC02362	LINC02362	AP1G1
TRIB3	MYO10	MYO10	TRIB3
SLC51A	SNF8	SNF8	SLC51A
ZNF131	FAM162B	FAM162B	ZNF131
PCDHGC3		BBS2	PCDHGC3
TMEM94		RF00019	TMEM94
LINC01333		LONP2	LINC01333
FIG4		UBA52P8	FIG4
SIGLEC15		TTLL8	SIGLEC15
MYO1C		OTOGL	MYO1C
UTP14C		SOX5	UTP14C
CSPP1		HSD11B1	CSPP1
NUCB2		CCR9	NUCB2
ENPP2		EIF3FP3	ENPP2
MVP		TNS4	MVP
CDCP1		BLOC1S2	CDCP1
FRYL		EPN2	FRYL
CBR3-AS1		LINC00525	CBR3-AS1
ERN1		NCOR2	ERN1
C17orf100		CFAP61	C17orf100
MED31		ARMC10	MED31
LINC00592		FBXL13	LINC00592
TLR4		M1AP	TLR4
B3GAT3		SYNM	B3GAT3
NIPBL		AKAP11	NIPBL
